race_id,course,course_id,date,off_time,distance,race_class,type,age_band,prize,field_size,going,surface,horse_id,horse,age,sex,trainer,trainer_id,trainer_location,trainer_rtf,owner,owner_id,lbs,ofr,rpr,ts,jockey,jockey_id,last_run,form,current_odds,comment,spotlight,quotes,number,draw,past_results_flags,silk_url,dist_y,mean_speed_figure,last_speed_figure,best_speed_figure_at_distance,best_speed_figure_at_track,avg_finishing_position,avg_ovr_btn,avg_finishing_position_going,avg_ovr_button_on_going,best_speed_figure_on_course_going_distance,last_speed_figure_on_going_distance,jockey_win_percentage_at_distance,trainer_win_percentage_at_distance,horse_ae_at_distance,horse_win_percentage_at_distance,trainer_21_days_win_percentage,jockey_21_days_win_percentage,trainer_win_percentage_at_course,trainer_avg_ovr_btn_at_course,trainer_avg_finishing_position_at_course,benter_proba,ensemble_proba,predicted_winner,mlp_proba,rf_proba,xgboost_proba
rac_11707839,Ffos Las,crs_31512,2025-08-29 00:00:00,1:25,5f,Class 6,Flat,3yo+,"£3,454",7,Good To Soft,Turf,hrs_21404264,Four Adaay,7,mare,Rod Millman,trn_40950,"Kentisbeare, Devon",53.0,The Four Adaay Syndicate,own_1149712,135,59,69,57,Lewis Edmunds,jky_283989,18,732252,3.75,Runner-up in three of her last four starts; rain won't hurt her chance; solid claims,"Hardly prolific these days but she has finished second in three of her last four starts, most recently at Windsor (5f, good to firm) 18 days ago; rain won't bother her and she's been found an uncompetitive sprint; more appealing than many.","""[]""",1,5,"""[\""D\""]""",https://www.rp-assets.com/svg/b/8/2/287428b.svg,1100,19.262993017968213,18.593723779157575,21.24020412528986,0,0.357142857142857,0.537634408602151,4.5,0.2758620689655172,0,21.24020412528986,0.13,0.12,0.65,0.11,12.5,10,13.79,0.1809672386895476,4.517241379310345,0.7296801356479963,0.6925418275762028,0,0.47851473318659155,0.6693779054461504,0.7807994484901428
rac_11711141,Newcastle (AW),crs_35178,2025-08-29 00:00:00,7:30,5f,Class 6,Flat,3yo+,"£3,245",9,Standard,AW,hrs_35813274,Northerner,4,filly,Brian Ellison,trn_39879,"Norton, N Yorks",31.0,Mrs J Spivey & Mrs J Robinson,own_1428000,135,50,61,0,Ben Robinson,jky_285837,120,42059,7.5,Two fair C&D runs last October; not done quite as well since but worth considering,"Two fair C&D runs last October; below best last time (May) but had been a creditable fifth at Nottingham on reappearance in April (5f, good); a possible.","""[]""",8,5,"""[]""",https://www.rp-assets.com/svg/0/0/0/357000.svg,1100,19.931339886156852,18.220147568137328,20.914412495867293,20.914412495867293,0.161290322580645,0.181818181818182,5.666666666666667,0.1666666666666666,20.914412495867293,19.445892384633684,0.09,0.08,0,0,8.06,9.42,7.23,0.0946462170021095,7.421686746987952,0.01225482939832118,0.16457255537557375,0,0.049848643230044024,0.3263097501506593,0.1945212483406067
rac_11711141,Newcastle (AW),crs_35178,2025-08-29 00:00:00,7:30,5f,Class 6,Flat,3yo+,"£3,245",9,Standard,AW,hrs_29228941,Back Tomorrow,5,mare,Ewan Whillans,trn_348426,"Hawick, Scottish Borders",60.0,N J Dalgarno & W R Ellis,own_1263804,135,49,55,0,Rowan Scott,jky_277695,20,356038,5.5,Three 6f wins on Tapeta in January; best form since was over 5f; down in grade; chance,Won three races on the trot over 6f at Wolverhampton in January; two fair efforts over 5f at Ayr since; interesting down in grade back on the AW.,"""[]""",1,4,"""[\""BF\""]""",https://www.rp-assets.com/svg/1/5/9/315951.svg,1100,19.19700899424676,17.628205128205128,20.7633932284748,18.746741263200835,0.138888888888889,0.13986013986014,4.666666666666667,0.2681564245810056,0,20.61839605037688,0.09,0.07,0,0,12.5,10.71,10.53,0.1328671328671328,5.578947368421052,0.1412206531276401,0.30499093507151254,0,0.33726668965158757,0.43868816032802876,0.5433726906776428
rac_11711141,Newcastle (AW),crs_35178,2025-08-29 00:00:00,7:30,5f,Class 6,Flat,3yo+,"£3,245",9,Standard,AW,hrs_35015505,Desert Master,4,gelding,Antony Brittain,trn_278469,"Warthill, N Yorks",20.0,John And Tony Jarvis And Partner,own_1088500,135,47,56,35,Cam Hardie,jky_278196,20,640909,13,C&D winner; hasn't been at his best since a wind op in February; best watched for now,C&D winner; hasn't been at his best since a wind operation in February; best watched for now.,"""[]""",2,2,"""[\""CD\""]""",https://www.rp-assets.com/svg/5/2/1/272125.svg,1100,19.488648245932826,16.739228344092478,21.235326701816277,20.34990234950089,0.113636363636364,0.150375939849624,5.647058823529412,0.2566037735849056,20.34990234950089,17.684028875405893,0.06,0.09,0.83,0.12,8.57,10,9.26,0.1643335362142422,6.111111111111111,0.18656170856667684,0.2611382578036666,0,0.013826293875837803,0.34125136126618855,0.45862123370170593
rac_11711141,Newcastle (AW),crs_35178,2025-08-29 00:00:00,7:30,5f,Class 6,Flat,3yo+,"£3,245",9,Standard,AW,hrs_30138192,Fumbleinthejungle,5,gelding,John David Riches,trn_265959,"Pilling, Lancs",25.0,J R Racing,own_1023480,135,39,33,11,Joe Bradnam(7),jky_296916,10,800060,126,0-9; ordinary form this year; new headgear combination tried; others stronger,Nine-race maiden; not shown much this year; visor and hood combination tried; others stronger.,"""[]""",3,7,"""[]""",https://www.rp-assets.com/svg/0/7/8/255870.svg,1100,20.254691735419108,17.384494909945182,22.71768650152266,0,0.102040816326531,0.0571428571428571,10,0.0833333333333333,0,18.365715769706508,0,0.06,0,0,9.52,8.33,0,0,0,0.004538984660309078,0.15404669260065304,0,0.019518787714540964,0.32659992121848747,0.08116491138935089
rac_11711141,Newcastle (AW),crs_35178,2025-08-29 00:00:00,7:30,5f,Class 6,Flat,3yo+,"£3,245",9,Standard,AW,hrs_18654524,Latin Five,8,gelding,Paul Midgley,trn_143532,"Westow, N Yorks",42.0,Sandfield & Ged Shields,own_1322952,135,50,62,45,David Nolan,jky_42996,15,946356,4.33,"C&D winner in February; fair efforts last four starts, including on AW; each-way chance","C&D winner in February; fair runs last four starts, last time finishing 2.75l sixth of seven at Chelmsford (5f); each-way chance.","""[{\""date\"": \""2019-07-21\"", \""horse\"": \""Latin Five\"", \""horse_id\"": \""hrs_18654524\"", \""race\"": \""Killashee Hotel Nursery Handicap (Plus 10 Race)\"", \""race_id\"": \""rac_9564555\"", \""course\"": \""Curragh\"", \""course_id\"": \""crs_4628\"", \""distance_f\"": \""6\"", \""distance_y\"": \""1320\"", \""quote\"": \""Latin Five is a horse we thought might win his maiden, but this was the first time he really raced professionally. He loved the stiff six and should go the seven at some stage. We'll see what the handicapper does - Joseph O'Brien, trainer\""}]""",5,3,"""[\""CD\""]""",https://www.rp-assets.com/svg/8/3/7/330738.svg,1100,19.36307533669623,18.121911037891262,20.64091341046102,20.64091341046102,0.208333333333333,0.377358490566038,3.2857142857142856,0.4729729729729729,20.64091341046102,19.28978936953463,0.11,0.11,0.93,0.1,25,13.37,0,0,0,0.5565575661049939,0.5634429177354967,0,0.7721534162551394,0.5515149799580239,0.5240520238876343
rac_11711141,Newcastle (AW),crs_35178,2025-08-29 00:00:00,7:30,5f,Class 6,Flat,3yo+,"£3,245",9,Standard,AW,hrs_24720962,Mrs Bagerran,7,mare,Tracy Waggott,trn_160227,"Spennymoor, Co Durham",,S Rain,own_1214084,135,50,60,0,William Pyle(3),jky_301428,24,512696,7,Won at Ripon in June and fair second next time; not done as well since; 0-16 on AW,"Won at Ripon in June (5f, good) and fair second at Musselburgh next time (5f, good); not done as well since and is 0-16 on the AW.","""[]""",6,6,"""[\""D\""]""",https://www.rp-assets.com/svg/1/2/5/303521.svg,1100,20.474597172343437,17.713365539452496,23.122951626600692,20.286518664457105,0.208333333333333,0.214592274678112,6.333333333333333,0.1818181818181818,20.286518664457105,19.444130981337977,0.11,0.1,0.52,0.07,11.54,10.19,8.7,0.1838529176658673,6.521739130434782,0.00830698684963264,0.181496456956984,0,0.07472952687273787,0.3458786163326748,0.3675291836261749
rac_11707839,Ffos Las,crs_31512,2025-08-29 00:00:00,1:25,5f,Class 6,Flat,3yo+,"£3,454",7,Good To Soft,Turf,hrs_412693365,Rinky Tinky Tinky,3,filly,Mrs Ilka Gansera-Leveque,trn_243405,"Newmarket, Suffolk",,J Mitchell,own_909308,130,56,67,65,Charlie Bennett,jky_276792,14,193567,8.5,6f win on stable debut in April; back to the same mark but no progress since; first 5f run,"Sprung a 40-1 surprise at Nottingham on her stable/seasonal debut in April (6f, good to firm); no progress since and she's now back down to that winning mark; drop to 5f not sure to suit.","""[]""",4,6,"""[]""",https://www.rp-assets.com/svg/7/2/3/227327.svg,1100,19.871034280371717,17.417926003126627,0,0,0.166666666666667,0.227272727272727,8,0.1428571428571428,0,0,0.08,0.11,0,0,13.79,13.24,0,0,0,0.9627039218029978,0.7484877809299728,0,0.26186390579400337,0.6139195191139845,0.5182807445526123
rac_11711141,Newcastle (AW),crs_35178,2025-08-29 00:00:00,7:30,5f,Class 6,Flat,3yo+,"£3,245",9,Standard,AW,hrs_37304064,Green Valentine,4,filly,Alan Brown,trn_702,"Yedingham, N Yorks",43.0,Scott McMillan,own_1397092,135,41,42,17,Barry McHugh,jky_235194,34,0,13,"Ex-Irish; second in Cork h'cap last October; poor form since, including on stable debut","Ex-Irish; runner-up in a Cork handicap in October last year (6f, good to yielding); poor since, including on stable debut last time  when well backed.","""[]""",4,8,"""[]""",https://www.rp-assets.com/svg/3/7/2/349273.svg,1100,19.369349848861766,15.90137124166562,19.58873988538315,19.58873988538315,0.0714285714285714,0.099502487562189,0,0,0,19.0480162118361,0.1,0.08,0,0,9.89,9.29,9.09,0.1618837380426784,6.212121212121212,0.9274918701427458,0.7277983137302387,1,0.9997116352517712,0.5015038466636887,0.6952931880950928
rac_11711141,Newcastle (AW),crs_35178,2025-08-29 00:00:00,7:30,5f,Class 6,Flat,3yo+,"£3,245",9,Standard,AW,hrs_35675619,Ninety Nine,4,filly,John Wainwright,trn_4374,"Norton, N Yorks",,Caballo Racing,own_999484,135,48,55,24,Oisin Orr,jky_281652,21,89346,7.5,Both wins on turf; best AW run when third over C&D in November; each-way chance,"Her two wins have been over 5f with some give in the ground, latest at Catterick last October (soft); yet to win on the AW, but was a fair C&D third last November; each-way chance.","""[]""",7,9,"""[\""D\""]""",https://www.rp-assets.com/svg/1/7/8/249871.svg,1100,19.6234229689471,18.035474735430014,21.59674092218834,19.297544610616725,0.166666666666667,0.16,7,0.1159420289855072,19.297544610616725,19.897895873182556,0.13,0.06,1.5,0.12,11.67,11.11,9.09,0.1769911504424779,6.181818181818182,0.10842874762866757,0.2326054090235684,0,0.5865236676285973,0.30040642858900723,0.3860679268836975
